logFC	logCPM	F	PValue	FDR
ENSG00000079689.13|mRNA|SCGN|ENSG00000079689.13|ENSG00000079689.13|0|1482	-5.65146728278381	3.29727546003627	159.898932970338	3.47848582205882e-12	4.37176098116353e-09
ENSG00000073711.10|mRNA|PPP2R3A|ENSG00000073711.10|ENSG00000073711.10|0|7837	-2.65928037920256	3.89185091018853	157.502531222584	4.08244508549329e-12	4.81014092198246e-09
ENSG00000120254.15|mRNA|MTHFD1L|ENSG00000120254.15|ENSG00000120254.15|0|5021	2.50592809929819	4.92632570016175	154.867386435166	4.8803442573841e-12	5.412014702365e-09
ENSG00000148848.14|mRNA|ADAM12|ENSG00000148848.14|ENSG00000148848.14|0|9860	4.76094677864517	3.70582558573838	153.736654678081	5.27315993067956e-12	5.52275616739839e-09
ENSG00000183034.12|mRNA|OTOP2|ENSG00000183034.12|ENSG00000183034.12|0|2778	-8.82739225533419	5.3028431371188	150.492438143716	6.60296714138434e-12	6.55153350259882e-09
ENSG00000167767.13|mRNA|KRT80|ENSG00000167767.13|ENSG00000167767.13|0|4350	6.79451294842671	4.72039376014336	148.751416153031	7.46291450345332e-12	7.0345432109551e-09
ENSG00000101255.10|mRNA|TRIB3|ENSG00000101255.10|ENSG00000101255.10|0|3434	4.21862769678432	5.90722645613305	147.316069791483	8.26322147460308e-12	7.41801196377225e-09
ENSG00000142959.4|mRNA|BEST4|ENSG00000142959.4|ENSG00000142959.4|0|2047	-5.88686203976577	5.25285164805407	146.158702301726	8.97624166893468e-12	7.54538961956596e-09
ENSG00000103253.17|mRNA|HAGHL|ENSG00000103253.17|ENSG00000103253.17|0|4890	4.28465630052425	3.38812437467769	145.225614698256	9.59960763518028e-12	7.54538961956596e-09
ENSG00000168748.13|mRNA|CA7|ENSG00000168748.13|ENSG00000168748.13|0|1862	-6.70892076153515	5.83990788435067	145.216615896774	9.60584292751873e-12	7.54538961956596e-09
ENSG00000071539.13|mRNA|TRIP13|ENSG00000071539.13|ENSG00000071539.13|0|3560	2.37762988275189	4.02914160805009	140.424500676717	1.36424051014160e-11	1.02874648388758e-08
ENSG00000075275.16|mRNA|CELSR1|ENSG00000075275.16|ENSG00000075275.16|0|12806	3.48407973829633	5.12514245685219	136.555544610544	1.8246956654934e-11	1.28376147928334e-08
ENSG00000151388.10|mRNA|ADAMTS12|ENSG00000151388.10|ENSG00000151388.10|0|9778	3.55160973002434	3.6994624785195	136.347555114251	1.85381566856829e-11	1.28376147928334e-08
ENSG00000181418.7|mRNA|DDN|ENSG00000181418.7|ENSG00000181418.7|0|3749	5.05269279227484	1.50842361889999	135.891607193168	1.91942688430292e-11	1.28376147928334e-08
ENSG00000101187.15|mRNA|SLCO4A1|ENSG00000101187.15|ENSG00000101187.15|0|4051	3.8093572159462	5.61714354183283	135.519689054199	1.97480813172166e-11	1.28376147928334e-08
ENSG00000112655.15|mRNA|PTK7|ENSG00000112655.15|ENSG00000112655.15|0|9024	2.72187104050625	6.45477629326016	134.915972309611	2.0684226643631e-11	1.28413523399135e-08
ENSG00000163815.5|mRNA|CLEC3B|ENSG00000163815.5|ENSG00000163815.5|0|1105	-4.06029370708282	4.61605072657151	134.647314965593	2.11161639368406e-11	1.28413523399135e-08
ENSG00000112559.13|mRNA|MDFI|ENSG00000112559.13|ENSG00000112559.13|0|2523	4.1559045802336	3.13040543784398	131.22788474732	2.75557229319379e-11	1.62337652722779e-08
ENSG00000089327.14|mRNA|FXYD5|ENSG00000089327.14|ENSG00000089327.14|0|2993	2.42984300574162	6.48751921253912	125.654007431027	4.30772791547522e-11	2.36368234993893e-08
ENSG00000163412.12|mRNA|EIF4E3|ENSG00000163412.12|ENSG00000163412.12|0|10779	-2.60987117443585	5.45544666348767	125.341029823817	4.41934794086954e-11	2.36368234993893e-08
ENSG00000151623.14|mRNA|NR3C2|ENSG00000151623.14|ENSG00000151623.14|0|6607	-3.00573701208461	6.04202826723586	125.198753861852	4.47112065513741e-11	2.36368234993893e-08
ENSG00000197905.8|mRNA|TEAD4|ENSG00000197905.8|ENSG00000197905.8|0|2272	2.49140902086302	4.460307136364	124.595636856382	4.69799386918401e-11	2.36368234993893e-08
ENSG00000123500.9|mRNA|COL10A1|ENSG00000123500.9|ENSG00000123500.9|0|3816	7.27140902679052	3.30424303286594	124.350368598884	4.79379354062939e-11	2.36368234993893e-08
ENSG00000034971.16|mRNA|MYOC|ENSG00000034971.16|ENSG00000034971.16|0|2099	-7.66829617559922	2.18648848823718	124.191765652427	4.85686695886677e-11	2.36368234993893e-08
ENSG00000120708.16|mRNA|TGFBI|ENSG00000120708.16|ENSG00000120708.16|0|7810	3.71997740064432	9.44944437082192	124.109691607508	4.88985845786221e-11	2.36368234993893e-08
ENSG00000114656.10|mRNA|KIAA1257|ENSG00000114656.10|ENSG00000114656.10|0|7811	3.86379331136422	1.70631996321519	123.188764999417	5.27714326930509e-11	2.48711762282349e-08
ENSG00000166311.9|mRNA|SMPD1|ENSG00000166311.9|ENSG00000166311.9|0|2750	-1.83055893029447	5.84899841165478	122.649763121806	5.51912325697619e-11	2.53771979611012e-08
ENSG00000175832.12|mRNA|ETV4|ENSG00000175832.12|ENSG00000175832.12|0|3607	5.59333816318575	6.2841272184421	121.944451567931	5.85407465612909e-11	2.62764322422251e-08
ENSG00000105464.3|mRNA|GRIN2D|ENSG00000105464.3|ENSG00000105464.3|0|5093	5.13713630944405	4.69658997523432	121.52953840567	6.06134781336655e-11	2.63283530456581e-08
ENSG00000140450.8|mRNA|ARRDC4|ENSG00000140450.8|ENSG00000140450.8|0|4072	-1.87413261765977	5.68129775660047	121.366497921257	6.14495827503159e-11	2.63283530456581e-08
ENSG00000173597.8|mRNA|SULT1B1|ENSG00000173597.8|ENSG00000173597.8|0|7356	-3.82559355348298	7.51541118038026	119.287864328302	7.32769810342446e-11	3.06981699212795e-08
ENSG00000006118.14|mRNA|TMEM132A|ENSG00000006118.14|ENSG00000006118.14|0|7271	2.86959567448125	4.9497142415272	118.962060264915	7.53444418772327e-11	3.08781177884694e-08
ENSG00000273604.1|mRNA|EPOP|ENSG00000273604.1|ENSG00000273604.1|0|3719	3.51471290958914	3.07525577081021	118.239130660836	8.01609880624609e-11	3.21530839777343e-08
ENSG00000165905.17|mRNA|LARGE2|ENSG00000165905.17|ENSG00000165905.17|0|3115	5.56302233074242	5.4232991245185	117.924272600811	8.2362036342684e-11	3.21979259752293e-08
ENSG00000117122.13|mRNA|MFAP2|ENSG00000117122.13|ENSG00000117122.13|0|2915	3.2179038068363	4.17376281709709	117.738870250854	8.36886469757181e-11	3.21979259752293e-08
ENSG00000078596.10|mRNA|ITM2A|ENSG00000078596.10|ENSG00000078596.10|0|2051	-2.60341036607894	4.06467160102736	117.469049477265	8.56607914985676e-11	3.22954132263424e-08
ENSG00000087116.14|mRNA|ADAMTS2|ENSG00000087116.14|ENSG00000087116.14|0|8726	2.86839800997875	5.14917186727809	117.220880828676	8.75191418437968e-11	3.22954132263424e-08
ENSG00000165806.19|mRNA|CASP7|ENSG00000165806.19|ENSG00000165806.19|0|3528	-1.79685139949677	7.02229507937834	117.016633516977	8.90813435057184e-11	3.22954132263424e-08
ENSG00000088836.12|mRNA|SLC4A11|ENSG00000088836.12|ENSG00000088836.12|0|4081	4.33564802141758	2.4449278571807	115.955617776981	9.76973905808666e-11	3.47507774949151e-08
ENSG00000168875.2|mRNA|SOX14|ENSG00000168875.2|ENSG00000168875.2|0|2055	7.60177458857097	1.36409018516666	115.327799519738	1.03217390013587e-10	3.60343377136324e-08
ENSG00000108231.12|mRNA|LGI1|ENSG00000108231.12|ENSG00000108231.12|0|11108	-6.15336582684888	0.200309204037066	115.074052076249	1.05543430981444e-10	3.61764501974942e-08
ENSG00000198417.6|mRNA|MT1F|ENSG00000198417.6|ENSG00000198417.6|0|1889	-3.51202148766839	5.65231848468151	114.527018885593	1.10753273253735e-10	3.72842983460611e-08
ENSG00000165816.12|mRNA|VWA2|ENSG00000165816.12|ENSG00000165816.12|0|3301	4.64753642190644	4.12185248623469	113.681891427774	1.19357288264658e-10	3.94758526029005e-08
ENSG00000138363.14|mRNA|ATIC|ENSG00000138363.14|ENSG00000138363.14|0|3928	1.18140966494285	6.80727894944778	112.592157547467	1.31535634830978e-10	4.27536170316138e-08
ENSG00000183734.4|mRNA|ASCL2|ENSG00000183734.4|ENSG00000183734.4|0|1852	4.09453975489437	6.14874397499451	111.859189543301	1.40480198373522e-10	4.47151951327704e-08
ENSG00000135069.13|mRNA|PSAT1|ENSG00000135069.13|ENSG00000135069.13|0|2188	2.63391285021036	5.21190907733573	111.414278093774	1.46229149380958e-10	4.47151951327704e-08
ENSG00000133119.12|mRNA|RFC3|ENSG00000133119.12|ENSG00000133119.12|0|2874	2.08745923084518	4.70575557704515	111.260004847255	1.48281649942033e-10	4.47151951327704e-08
ENSG00000171503.11|mRNA|ETFDH|ENSG00000171503.11|ENSG00000171503.11|0|4493	-2.175604900865	5.262975810762	111.132069331139	1.50007402204223e-10	4.47151951327704e-08
ENSG00000157193.15|mRNA|LRP8|ENSG00000157193.15|ENSG00000157193.15|0|10258	3.18812417952497	3.79173423112112	111.047566679283	1.5115919336416e-10	4.47151951327704e-08
ENSG00000187699.10|mRNA|C2orf88|ENSG00000187699.10|ENSG00000187699.10|0|5997	-3.98543290997442	5.88636398311995	111.000704242718	1.51802062831387e-10	4.47151951327704e-08
ENSG00000236081.1|lncRNA|ELFN1-AS1|ENSG00000236081.1|ENSG00000236081.1|0|989	5.48127620657506	2.71511888613667	110.823356693649	1.54261880828365e-10	4.47406919596359e-08
ENSG00000174951.10|mRNA|FUT1|ENSG00000174951.10|ENSG00000174951.10|0|4343	3.42071934812323	2.75598836252817	110.396343900423	1.603633777481e-10	4.55692948770775e-08
ENSG00000135549.14|mRNA|PKIB|ENSG00000135549.14|ENSG00000135549.14|0|3432	-4.50413277747601	6.13295544433806	110.159814315015	1.6385512129438e-10	4.55692948770775e-08
ENSG00000169432.14|mRNA|SCN9A|ENSG00000169432.14|ENSG00000169432.14|0|10364	-4.12300871285567	3.29864661215201	110.125367470128	1.64370467411482e-10	4.55692948770775e-08
ENSG00000025772.7|mRNA|TOMM34|ENSG00000025772.7|ENSG00000025772.7|0|2062	1.80448665238935	6.03054314031267	109.771395872808	1.69768928743478e-10	4.63838238358268e-08
ENSG00000088826.17|mRNA|SMOX|ENSG00000088826.17|ENSG00000088826.17|0|2946	2.76034034177761	4.38196802809982	109.41762230364	1.75356637816638e-10	4.72260476588465e-08
ENSG00000151150.21|mRNA|ANK3|ENSG00000151150.21|ENSG00000151150.21|0|25614	-2.31764969065047	5.33549391294895	109.009064153325	1.82058500256986e-10	4.83403781245733e-08
ENSG00000168005.8|mRNA|C11orf84|ENSG00000168005.8|ENSG00000168005.8|0|2807	1.77648314997383	4.34890566490371	108.233335873979	1.95558896269175e-10	5.12038376731457e-08
ENSG00000198721.12|mRNA|ECI2|ENSG00000198721.12|ENSG00000198721.12|0|4579	-2.05267577212248	5.52198820492666	107.914497851033	2.01418701959541e-10	5.20156899909762e-08
ENSG00000139515.5|mRNA|PDX1|ENSG00000139515.5|ENSG00000139515.5|0|2501	5.8824726496773	4.07307448868983	107.764750688599	2.04236201650377e-10	5.20305523447691e-08
ENSG00000148483.8|mRNA|TMEM236|ENSG00000148483.8|ENSG00000148483.8|0|5464	-4.27253090659116	5.74043430787444	107.573802085077	2.07890952156096e-10	5.22554697339562e-08
ENSG00000187583.10|mRNA|PLEKHN1|ENSG00000187583.10|ENSG00000187583.10|0|2833	3.61756253810566	1.56518647605595	107.067933758288	2.17919900196786e-10	5.40556047172344e-08
ENSG00000125144.13|mRNA|MT1G|ENSG00000125144.13|ENSG00000125144.13|0|750	-4.12931452320637	7.99887612876679	106.89831515066	2.21398883068017e-10	5.42053473194578e-08
ENSG00000249453.1|lncRNA|AC092834.1|ENSG00000249453.1|ENSG00000249453.1|0|442	-5.5217162850423	-0.98959462443963	105.961892951412	2.41719974090165e-10	5.84218583531769e-08
ENSG00000205038.11|mRNA|PKHD1L1|ENSG00000205038.11|ENSG00000205038.11|0|13728	-4.21476743221729	0.6933851123414	105.60277520364	2.50041235394218e-10	5.91577656341074e-08
ENSG00000125851.9|mRNA|PCSK2|ENSG00000125851.9|ENSG00000125851.9|0|7078	-6.89840583418923	1.85398903745915	105.560509505856	2.51040804727806e-10	5.91577656341074e-08
ENSG00000204335.3|mRNA|SP5|ENSG00000204335.3|ENSG00000204335.3|0|2060	4.75169167093553	3.92840389366942	105.070311201208	2.62955176763351e-10	6.12003826215148e-08
ENSG00000165072.9|mRNA|MAMDC2|ENSG00000165072.9|ENSG00000165072.9|0|3854	-5.07679133524231	3.7855044992657	104.906767820731	2.67065175426676e-10	6.13989352090694e-08
ENSG00000108244.16|mRNA|KRT23|ENSG00000108244.16|ENSG00000108244.16|0|2902	7.59842340072621	5.53579906390756	104.426670363758	2.79537419446623e-10	6.34920413422618e-08
ENSG00000092421.16|mRNA|SEMA6A|ENSG00000092421.16|ENSG00000092421.16|0|10956	-3.21564458452468	5.95654992969479	104.274597714684	2.8361842623788e-10	6.36520782313871e-08
ENSG00000175063.16|mRNA|UBE2C|ENSG00000175063.16|ENSG00000175063.16|0|1286	2.10386148036117	5.70064307684868	103.934256033836	2.92987398541373e-10	6.38592812097069e-08
ENSG00000163106.10|mRNA|HPGDS|ENSG00000163106.10|ENSG00000163106.10|0|2111	-3.35447061641899	1.80718162449075	103.922130198637	2.93327321785903e-10	6.38592812097069e-08
ENSG00000169715.14|mRNA|MT1E|ENSG00000169715.14|ENSG00000169715.14|0|1052	-3.50313608655462	7.22352747783487	103.873180425694	2.94703875729074e-10	6.38592812097069e-08
ENSG00000204869.8|mRNA|IGFL4|ENSG00000204869.8|ENSG00000204869.8|0|3725	5.7846160931642	0.196341063378335	103.718499405465	2.99099937298668e-10	6.39960794875413e-08
ENSG00000143882.10|mRNA|ATP6V1C2|ENSG00000143882.10|ENSG00000143882.10|0|3406	2.47771863627408	2.43847886828083	103.517104497109	3.04930302653048e-10	6.39960794875413e-08
ENSG00000163347.5|mRNA|CLDN1|ENSG00000163347.5|ENSG00000163347.5|0|3663	4.72252211958445	5.79975622597015	103.496996147627	3.05519157324354e-10	6.39960794875413e-08
ENSG00000106348.16|mRNA|IMPDH1|ENSG00000106348.16|ENSG00000106348.16|0|3662	1.91466647083621	6.20481059933468	103.114948433241	3.16944152709969e-10	6.56596831526191e-08
ENSG00000067113.16|mRNA|PLPP1|ENSG00000067113.16|ENSG00000067113.16|0|2016	-1.73297990960266	5.6841858675175	102.873143874159	3.24413671100104e-10	6.62689067891184e-08
ENSG00000187642.9|mRNA|PERM1|ENSG00000187642.9|ENSG00000187642.9|0|3424	3.1261879630525	-0.121208968367053	102.793503561845	3.26915358125823e-10	6.62689067891184e-08
ENSG00000099194.5|mRNA|SCD|ENSG00000099194.5|ENSG00000099194.5|0|5362	2.99427488947582	8.17082674305257	102.338155783796	3.41625874649263e-10	6.81096707365615e-08
ENSG00000171227.6|mRNA|TMEM37|ENSG00000171227.6|ENSG00000171227.6|0|2292	-3.5456233302121	6.11590673762003	102.290034095365	3.43221871418064e-10	6.81096707365615e-08
ENSG00000065325.12|mRNA|GLP2R|ENSG00000065325.12|ENSG00000065325.12|0|6052	-4.17305113527997	2.95279528930787	101.859880671985	3.57852140134517e-10	7.02732140189158e-08
ENSG00000152642.10|mRNA|GPD1L|ENSG00000152642.10|ENSG00000152642.10|0|4802	-1.69017422626305	6.55432417237101	101.562061176826	3.68376360705509e-10	7.15941355878377e-08
ENSG00000180730.4|mRNA|SHISA2|ENSG00000180730.4|ENSG00000180730.4|0|2860	3.2131489392906	1.20911130120272	101.296033856412	3.78060748020518e-10	7.22657444378285e-08
ENSG00000139433.9|mRNA|GLTP|ENSG00000139433.9|ENSG00000139433.9|0|2696	-1.76331704756162	6.16667492996739	101.257164617622	3.79498657932581e-10	7.22657444378285e-08
ENSG00000169181.12|mRNA|GSG1L|ENSG00000169181.12|ENSG00000169181.12|0|5213	-4.09610184007406	-1.65492099467734	101.050270468998	3.87252684316139e-10	7.26156629516328e-08
ENSG00000265688.1|lncRNA|MAFG-AS1|ENSG00000265688.1|ENSG00000265688.1|0|1895	2.94245915035309	1.81298765699777	100.895370540268	3.9317028505854e-10	7.26156629516328e-08
ENSG00000187193.8|mRNA|MT1X|ENSG00000187193.8|ENSG00000187193.8|0|1773	-2.92647246328838	6.04949276190558	100.812238691513	3.96386450059374e-10	7.26156629516328e-08
ENSG00000112877.7|mRNA|CEP72|ENSG00000112877.7|ENSG00000112877.7|0|3658	2.4872713656619	2.99867178795487	100.78625867149	3.97397384115894e-10	7.26156629516328e-08
ENSG00000173557.14|mRNA|C2orf70|ENSG00000173557.14|ENSG00000173557.14|0|2507	4.20464099105156	2.07187589021145	100.704535415867	4.00595636906949e-10	7.26156629516328e-08
ENSG00000149243.15|mRNA|KLHL35|ENSG00000149243.15|ENSG00000149243.15|0|5041	3.33114899934546	1.47470222407538	99.6214704988031	4.45718501793095e-10	8.00255732933659e-08
ENSG00000165480.15|mRNA|SKA3|ENSG00000165480.15|ENSG00000165480.15|0|3048	2.31795434929294	4.0707388713471	99.3730579874311	4.56825445366973e-10	8.12459744911148e-08
ENSG00000172340.14|mRNA|SUCLG2|ENSG00000172340.14|ENSG00000172340.14|0|3090	-1.76580060715422	7.48793264175249	98.946029067896	4.76625111234707e-10	8.39751083831467e-08
ENSG00000131188.11|mRNA|PRR7|ENSG00000131188.11|ENSG00000131188.11|0|1772	3.63853321559078	3.01692013533185	98.8191251235718	4.82686739517825e-10	8.4209588377475e-08
ENSG00000154822.17|mRNA|PLCL2|ENSG00000154822.17|ENSG00000154822.17|0|5146	-2.93955749009944	4.12256881947987	98.7321415516513	4.8688972698625e-10	8.4209588377475e-08
ENSG00000231172.2|lncRNA|AC007099.1|ENSG00000231172.2|ENSG00000231172.2|0|1185	7.8989525476882	-0.303692665929397	98.6178072103297	4.92474648722947e-10	8.44012007065909e-08
ENSG00000176533.12|mRNA|GNG7|ENSG00000176533.12|ENSG00000176533.12|0|4561	-2.57349743503386	3.18799545498576	98.0182129757865	5.22921393772856e-10	8.88118388775304e-08
ENSG00000203499.11|mRNA|IQANK1|ENSG00000203499.11|ENSG00000203499.11|0|4982	2.82595487211697	4.21686771511915	97.8664644640738	5.30946057881946e-10	8.93695989570576e-08
ENSG00000166510.13|mRNA|CCDC68|ENSG00000166510.13|ENSG00000166510.13|0|5180	-2.73899612379646	4.76197767735858	97.7628230986794	5.36503312132269e-10	8.950584460458e-08
ENSG00000141338.13|mRNA|ABCA8|ENSG00000141338.13|ENSG00000141338.13|0|11243	-4.77459936240309	4.32746519978792	97.4571681502135	5.5326242117608e-10	9.14921330176444e-08
ENSG00000186451.1|mRNA|SPATA12|ENSG00000186451.1|ENSG00000186451.1|0|2413	4.22878441257734	-0.359237320444569	97.3171110995682	5.61130342667818e-10	9.19863410432497e-08
ENSG00000164379.6|mRNA|FOXQ1|ENSG00000164379.6|ENSG00000164379.6|0|2309	6.4336545438592	4.76704135533606	96.9607781054126	5.81699266155331e-10	9.45361600479336e-08
ENSG00000145244.11|mRNA|CORIN|ENSG00000145244.11|ENSG00000145244.11|0|10087	3.74608868281079	0.821703221638355	96.7639668645757	5.93408687414512e-10	9.51120518026183e-08
ENSG00000125148.6|mRNA|MT2A|ENSG00000125148.6|ENSG00000125148.6|0|1299	-2.88747868946005	7.80303755346553	96.7055644011477	5.9693228379834e-10	9.51120518026183e-08
ENSG00000118432.12|mRNA|CNR1|ENSG00000118432.12|ENSG00000118432.12|0|6357	-4.56938723380036	2.15893717598811	96.6488054760081	6.0037843011413e-10	9.51120518026183e-08
ENSG00000130826.17|mRNA|DKC1|ENSG00000130826.17|ENSG00000130826.17|0|4203	1.44612960745006	6.61175650739656	96.3856832485658	6.16637780415714e-10	9.68737953033087e-08
ENSG00000130305.16|mRNA|NSUN5|ENSG00000130305.16|ENSG00000130305.16|0|3414	1.16395071169184	5.12058541982492	96.1346260324759	6.32596712850084e-10	9.85596134764445e-08
ENSG00000170373.8|mRNA|CST1|ENSG00000170373.8|ENSG00000170373.8|0|872	10.2441950392133	4.80892988118056	96.0144577912915	6.40393158973613e-10	9.89564904341848e-08
ENSG00000101189.6|mRNA|MRGBP|ENSG00000101189.6|ENSG00000101189.6|0|2781	1.76852454054506	5.00454246391858	95.9251299322052	6.46256078567628e-10	9.90505657980237e-08
ENSG00000111110.11|mRNA|PPM1H|ENSG00000111110.11|ENSG00000111110.11|0|7063	2.35872924430591	4.80774870613721	95.8339225270051	6.52302356804506e-10	9.91710002457948e-08
ENSG00000011201.11|mRNA|ANOS1|ENSG00000011201.11|ENSG00000011201.11|0|7131	3.19917958061838	2.5177858780171	95.5606809131288	6.7078540748441e-10	1.00974295683035e-07
ENSG00000158106.13|mRNA|RHPN1|ENSG00000158106.13|ENSG00000158106.13|0|4172	3.82894529917511	4.55420322080836	95.5013104912384	6.74875941866244e-10	1.00974295683035e-07
ENSG00000197696.9|mRNA|NMB|ENSG00000197696.9|ENSG00000197696.9|0|1022	2.20658120719657	2.29159710785304	95.3424800818193	6.85952455810641e-10	1.01823430684584e-07
ENSG00000226629.1|lncRNA|LINC00974|ENSG00000226629.1|ENSG00000226629.1|0|2141	-5.59361904116633	-0.181671325664578	95.2195778893836	6.94658442812062e-10	1.02310163780414e-07
ENSG00000062038.13|mRNA|CDH3|ENSG00000062038.13|ENSG00000062038.13|0|6236	6.34670889210588	5.92946897225577	94.2917438481244	7.64374700427994e-10	1.11705363197431e-07
ENSG00000136826.14|mRNA|KLF4|ENSG00000136826.14|ENSG00000136826.14|0|3659	-2.6487933068045	7.82838959323242	94.1361581303265	7.76789513705833e-10	1.12646430095249e-07
ENSG00000146858.7|mRNA|ZC3HAV1L|ENSG00000146858.7|ENSG00000146858.7|0|1753	2.31503040521404	2.22919017070609	93.9764412175105	7.89761345139795e-10	1.13653289149431e-07
ENSG00000136271.10|mRNA|DDX56|ENSG00000136271.10|ENSG00000136271.10|0|4068	1.09724007816778	6.18093948617205	93.6875384844158	8.13824961396848e-10	1.1622900130495e-07
ENSG00000135709.12|mRNA|KIAA0513|ENSG00000135709.12|ENSG00000135709.12|0|8837	-2.44884495174195	4.91160001839723	93.603338446617	8.20986741793317e-10	1.16370241024719e-07
ENSG00000089351.14|mRNA|GRAMD1A|ENSG00000089351.14|ENSG00000089351.14|0|5942	1.80219233838065	5.95728463611993	93.3917421440949	8.39287348433546e-10	1.18076455915442e-07
ENSG00000179241.12|mRNA|LDLRAD3|ENSG00000179241.12|ENSG00000179241.12|0|4575	2.24716926102079	3.44288829090988	92.9651120191178	8.77542912007988e-10	1.22543992423515e-07
ENSG00000172594.12|mRNA|SMPDL3A|ENSG00000172594.12|ENSG00000172594.12|0|2349	-2.94662381657586	6.02441110103177	92.7829814865071	8.94445678988469e-10	1.23985955443313e-07
ENSG00000179163.11|mRNA|FUCA1|ENSG00000179163.11|ENSG00000179163.11|0|2047	-1.94579631159825	7.42382495404627	92.0474672759343	9.66379497156167e-10	1.31447597091916e-07
ENSG00000261469.1|lncRNA|AC020978.5|ENSG00000261469.1|ENSG00000261469.1|0|533	-2.89011614437413	-0.211667206344573	91.9875913327274	9.72505180006194e-10	1.31447597091916e-07
ENSG00000171100.14|mRNA|MTM1|ENSG00000171100.14|ENSG00000171100.14|0|4016	-1.70663801553421	4.85522193537922	91.9814145851085	9.73139487406438e-10	1.31447597091916e-07
ENSG00000168032.8|mRNA|ENTPD3|ENSG00000168032.8|ENSG00000168032.8|0|3365	-3.50603852157993	1.39942644735014	91.9520121246007	9.76165053727362e-10	1.31447597091916e-07
ENSG00000269404.6|mRNA|SPIB|ENSG00000269404.6|ENSG00000269404.6|0|4281	-5.0017697097793	4.8362154391332	91.8187865639828	9.90002377004124e-10	1.32365424193488e-07
ENSG00000172005.10|mRNA|MAL|ENSG00000172005.10|ENSG00000172005.10|0|1457	-4.60325081713265	1.81942290119014	91.6947513542215	1.00307615926121e-09	1.33168956016847e-07
ENSG00000011347.9|mRNA|SYT7|ENSG00000011347.9|ENSG00000011347.9|0|5953	2.3740595795473	5.56105799362761	91.580565850015	1.01527707050817e-09	1.33846177155385e-07
ENSG00000178773.14|mRNA|CPNE7|ENSG00000178773.14|ENSG00000178773.14|0|3048	5.93140632104511	4.58946362205382	91.5138541991035	1.02247959319043e-09	1.3385962007518e-07
ENSG00000205683.11|mRNA|DPF3|ENSG00000205683.11|ENSG00000205683.11|0|6889	-3.08579403082261	2.14828995316347	91.4389569533623	1.03063183877628e-09	1.33996354652486e-07
ENSG00000120149.8|mRNA|MSX2|ENSG00000120149.8|ENSG00000120149.8|0|2270	4.82056277758532	3.22080260439549	90.8521060890965	1.09699742452106e-09	1.41647914021035e-07
ENSG00000249859.9|lncRNA|PVT1|ENSG00000249859.9|ENSG00000249859.9|0|5493	3.03669631939256	3.3459635838762	90.6448567193733	1.12152834135116e-09	1.43830287694912e-07
